ID,NOM,Coord X,Coord Y,Coord X Y,LAT,LONG
621,Circular acer inox. 60 L.,416816,4572777,"(416816, 4572777)",41.30216293624364,2.006364631119888
622,Circular acer inox. 60 L.,416794,4572756,"(416794, 4572756)",41.30197153317039,2.0061047502499667
623,Circular acer inox. 60 L.,416821,4572762,"(416821, 4572762)",41.30202835561567,2.0064263983527173
624,Circular acer inox. 60 L.,416854,4572775,"(416854, 4572775)",41.30214884037525,2.006818750193549
626,Circular txapa pintada gris 60 L.,416575,4573487,"(416575, 4573487)",41.3085325930694,2.0033889266650906
627,Circular txapa pintada gris 60 L.,416563,4573518,"(416563, 4573518)",41.308810549960434,2.003241340504573
628,Circular txapa pintada gris 60 L.,416597,4573513,"(416597, 4573513)",41.308769034212325,2.003648139512822
629,Circular txapa pintada gris 60 L.,416613,4573518,"(416613, 4573518)",41.308815720348214,2.0038385660772695
630,Circular txapa pintada gris 60 L.,416614,4573536,"(416614, 4573536)",41.308977938747276,2.003848042791544
631,Circular acer inox. 60 L.,416575,4573549,"(416575, 4573549)",41.30909098918873,2.0033804225306926
632,Circular txapa pintada gris 60 L.,416593,4573561,"(416593, 4573561)",41.30920092730457,2.0035937790151186
633,Circular acer inox. 60 L.,416546,4573629,"(416546, 4573629)",41.30980850030995,2.003023053028009
634,Circular txapa pintada gris 60 L.,416530,4573659,"(416530, 4573659)",41.31007703630841,2.0028278206183905
635,Circular txapa pintada gris 60 L.,416541,4573670,"(416541, 4573670)",41.31017724480356,2.002957703244138
636,Circular txapa pintada gris 60 L.,416616,4573653,"(416616, 4573653)",41.310031893038826,2.003855891077831
637,Circular acer inox. 60 L.,416649,4573616,"(416649, 4573616)",41.30970206739962,2.004255138185134
638,Circular txapa pintada gris 60 L.,416614,4573584,"(416614, 4573584)",41.30941024545199,2.003841461896215
639,Circular txapa pintada gris 60 L.,416631,4573609,"(416631, 4573609)",41.309637162436196,2.004041093563153
640,Circular acer inox. 60 L.,416690,4573558,"(416690, 4573558)",41.30918393238527,2.004752814734482
641,Circular acer inox. 60 L.,416712,4573522,"(416712, 4573522)",41.30886197415006,2.005020525416475
642,Circular acer inox. 60 L.,416734,4573455,"(416734, 4573455)",41.308260817003344,2.005292477321112
643,Circular txapa pintada gris 60 L.,416739,4573469,"(416739, 4573469)",41.30838742264417,2.0053502829401975
644,Circular txapa pintada gris 60 L.,416758,4573436,"(416758, 4573436)",41.30809217251675,2.0055817436538654
645,Circular txapa pintada gris 60 L.,416802,4573344,"(416802, 4573344)",41.30726812323182,2.0061198807435203
646,Circular txapa pintada gris 60 L.,416763,4573324,"(416763, 4573324)",41.307083971993684,2.005656792337514
647,Circular txapa pintada gris 60 L.,416785,4573360,"(416785, 4573360)",41.30741047209743,2.00591463976309
648,Circular acer inox. 60 L.,416793,4573365,"(416793, 4573365)",41.307456329317596,2.006009509899896
649,Circular acer inox. 60 L.,416811,4573348,"(416811, 4573348)",41.307305077010625,2.0062268318358023
650,Circular acer inox. 60 L.,416804,4573324,"(416804, 4573324)",41.30708820152037,2.0061465047358205
651,Circular txapa pintada gris 60 L.,416868,4573291,"(416868, 4573291)",41.30679758829201,2.006915444128382
652,Circular txapa pintada gris 60 L.,416937,4573223,"(416937, 4573223)",41.306192260516546,2.007748876594639
