X,Y,objectid,id,capacitat,residu,nom_barri,adress,streetview,globalid
416812.8487,4574286.4196,1288,424,3500,Rebuig,El Torrent Ballester,"Carrer de Josep Pallach , 19","http://maps.google.com/maps?layer=c&cbll=41.315737,2.006097&cbp=12,242.85,,0,-2",{BE24ED44-4C93-4C59-BE51-0177576394A1}
416867.5814,4574679.546,1289,436,3200,Rebuig,El Torrent Ballester,"Avinguda de Miramar, 2","http://maps.google.com/maps?layer=c&cbll=41.319428,2.006701&cbp=12,242.85,,0,-2",{30C95D6A-823C-43FC-81CB-6ACE3E46CDB9}
416815.6389,4574283.4155,1290,425,2400,Vidre,El Torrent Ballester,"Carrer de Josep Pallach , 19","http://maps.google.com/maps?layer=c&cbll=41.315737,2.006097&cbp=12,242.85,,0,-2",{1B353BEB-6FF9-48BD-96BA-A32EAABEE21E}
416784.2936,4574531.686,1291,426,1800,Orgànic,El Torrent Ballester,"Avinguda de Miramar, 15","http://maps.google.com/maps?layer=c&cbll=41.317317,2.005545&cbp=12,242.85,,0,-2",{9FD788C3-9D59-4488-969C-421EFB9EFADE}
416780.6743,4574524.2721,1292,427,3200,Cartró,El Torrent Ballester,"Avinguda de Miramar, 15","http://maps.google.com/maps?layer=c&cbll=41.317317,2.005545&cbp=12,242.85,,0,-2",{7EF63B97-87DA-4468-8936-299791E750FE}
416933.3545,4574474.333,1293,449,3500,Rebuig,El Torrent Ballester,"Carrer del Canonge Doctor Auguet, 88","http://maps.google.com/maps?layer=c&cbll=41.317558,2.007437&cbp=12,242.85,,0,-2",{4CACB8B5-31CC-4021-A4CC-9BC6E85A0C0A}
416871.7991,4574683.7158,1294,437,2400,Vidre,El Torrent Ballester,"Avinguda de Miramar, 2","http://maps.google.com/maps?layer=c&cbll=41.319428,2.006701&cbp=12,242.85,,0,-2",{2D2EFC7D-9601-4868-A88F-76615068B3EB}
416870.1931,4574682.1434,1295,438,3200,Envasos,El Torrent Ballester,"Avinguda de Miramar, 2","http://maps.google.com/maps?layer=c&cbll=41.319428,2.006701&cbp=12,242.85,,0,-2",{B5105A77-D6FB-4F1A-81FB-EEFF7E8577F3}
416868.9594,4574680.8522,1296,439,1800,Orgànic,El Torrent Ballester,"Avinguda de Miramar, 2","http://maps.google.com/maps?layer=c&cbll=41.319428,2.006701&cbp=12,242.85,,0,-2",{5BF669F4-AFF5-4655-978D-703FE80B25EE}
416875.0003,4574686.8025,1297,440,3200,Cartró,El Torrent Ballester,"Avinguda de Miramar, 2","http://maps.google.com/maps?layer=c&cbll=41.319428,2.006701&cbp=12,242.85,,0,-2",{E27A9107-5095-44EC-923A-63F41983C5F1}
416923.4307,4574721.1861,1298,441,3500,Rebuig,La Montserratina,"Avinguda de la Roureda, 89","http://maps.google.com/maps?layer=c&cbll=41.319569,2.007420&cbp=12,242.85,,0,-2",{5873D9F3-961E-49E5-B3D7-F5FC34950B7B}
416924.395,4574722.0948,1299,442,1800,Orgànic,La Montserratina,"Avinguda de la Roureda, 89","http://maps.google.com/maps?layer=c&cbll=41.319569,2.007420&cbp=12,242.85,,0,-2",{1A9D440C-209D-4537-92FB-4262D13DCB12}
416927.4699,4574724.9923,1300,443,3500,Cartró,La Montserratina,"Avinguda de la Roureda, 89","http://maps.google.com/maps?layer=c&cbll=41.319569,2.007420&cbp=12,242.85,,0,-2",{54E2CCF0-81D3-4897-BC0D-11F6EE551D50}
416895.7304,4574560.358,1301,444,3500,Rebuig,El Torrent Ballester,"Carrer de Pere Sala, 98","http://maps.google.com/maps?layer=c&cbll=41.318412,2.007205&cbp=12,242.85,,0,-2",{503370FE-CAA4-4512-BA9F-398F8FC94DAA}
416896.694,4574561.2675,1302,445,1800,Orgànic,El Torrent Ballester,"Carrer de Pere Sala, 98","http://maps.google.com/maps?layer=c&cbll=41.318412,2.007205&cbp=12,242.85,,0,-2",{34C49867-D26B-4F5D-BA29-8F8494A51B22}
416899.7665,4574564.1675,1303,446,3500,Cartró,El Torrent Ballester,"Carrer de Pere Sala, 98","http://maps.google.com/maps?layer=c&cbll=41.318412,2.007205&cbp=12,242.85,,0,-2",{A63BA069-414C-4859-8C38-EA6891B81EB0}
